iter	Passed	Remaining
1034	8155	2088
1035	8162	2079
1036	8169	2072
1037	8178	2064
1038	8187	2056
1039	8196	2049
1040	8203	2041
1041	8212	2033
1042	8218	2025
1043	8226	2017
1044	8233	2009
1045	8240	2001
1046	8249	1993
1047	8257	1985
1048	8263	1977
1049	8271	1969
1050	8280	1961
1051	8289	1954
1052	8296	1946
1053	8303	1938
1054	8311	1930
1055	8318	1922
1056	8325	1913
1057	8331	1905
1058	8339	1897
1059	8345	1889
1060	8355	1882
1061	8375	1877
1062	8384	1869
1063	8391	1861
1064	8399	1853
1065	8407	1845
1066	8418	1838
1067	8424	1830
1068	8433	1822
1069	8439	1814
1070	8446	1805
1071	8452	1797
1072	8458	1789
1073	8466	1781
1074	8471	1773
1075	8479	1765
1076	8485	1756
1077	8493	1749
1078	8499	1740
1079	8506	1732
1080	8513	1724
1081	8519	1716
1082	8527	1708
1083	8534	1700
1084	8542	1692
1085	8550	1684
1086	8558	1677
1087	8567	1669
1088	8576	1661
1089	8582	1653
1090	8590	1645
1091	8596	1637
1092	8604	1629
1093	8611	1621
1094	8620	1613
1095	8629	1606
1096	8638	1598
1097	8644	1590
1098	8652	1582
1099	8658	1574
1100	8665	1566
1101	8672	1558
1102	8679	1550
1103	8687	1542
1104	8694	1534
1105	8703	1526
1106	8710	1518
1107	8718	1510
1108	8726	1502
1109	8734	1495
1110	8743	1487
1111	8753	1479
1112	8761	1472
1113	8769	1464
1114	8778	1456
1115	8786	1448
1116	8793	1440
1117	8801	1432
1118	8809	1424
1119	8816	1416
1120	8823	1408
1121	8830	1400
1122	8837	1392
1123	8844	1384
1124	8851	1376
1125	8858	1368
1126	8864	1360
1127	8874	1353
1128	8881	1345
1129	8887	1337
1130	8894	1329
1131	8900	1320
1132	8907	1312
1133	8913	1304
1134	8920	1296
1135	8926	1288
1136	8932	1280
1137	8939	1272
1138	8946	1264
1139	8953	1256
1140	8959	1248
1141	8965	1240
1142	8972	1232
1143	8979	1224
1144	8986	1216
1145	8993	1208
1146	9002	1200
1147	9010	1193
1148	9019	1185
1149	9026	1177
1150	9035	1169
1151	9042	1161
1152	9050	1153
1153	9057	1145
1154	9067	1138
1155	9075	1130
1156	9085	1122
1157	9093	1115
1158	9102	1107
1159	9108	1099
1160	9117	1091
1161	9124	1083
1162	9133	1075
1163	9140	1067
1164	9147	1059
1165	9153	1051
1166	9161	1044
1167	9168	1036
1168	9176	1028
1169	9183	1020
1170	9192	1012
1171	9199	1004
1172	9206	996
1173	9213	988
1174	9220	980
1175	9230	973
1176	9239	965
1177	9247	957
1178	9257	950
1179	9264	942
1180	9273	934
1181	9281	926
1182	9289	918
1183	9296	910
1184	9304	902
1185	9312	895
1186	9319	887
1187	9326	879
1188	9333	871
1189	9339	863
1190	9346	855
1191	9352	847
1192	9359	839
1193	9366	831
1194	9373	823
1195	9380	815
1196	9388	807
1197	9394	799
1198	9400	791
1199	9406	783
1200	9413	775
1201	9420	768
1202	9427	760
1203	9433	752
1204	9439	744
1205	9447	736
1206	9455	728
1207	9463	720
1208	9471	712
1209	9479	705
1210	9486	697
1211	9494	689
1212	9501	681
1213	9511	673
1214	9519	665
1215	9526	658
1216	9532	650
1217	9541	642
1218	9548	634
1219	9556	626
1220	9564	618
1221	9574	611
1222	9582	603
1223	9590	595
1224	9598	587
1225	9607	579
1226	9615	572
1227	9623	564
1228	9633	556
1229	9640	548
1230	9650	540
1231	9658	533
1232	9666	525
1233	9673	517
1234	9681	509
1235	9688	501
1236	9696	493
1237	9703	485
1238	9711	478
1239	9718	470
1240	9725	462
1241	9732	454
1242	9739	446
1243	9747	438
1244	9754	430
1245	9762	423
1246	9771	415
1247	9781	407
1248	9789	399
1249	9797	391
1250	9805	384
1251	9812	376
1252	9818	368
1253	9827	360
1254	9834	352
1255	9842	344
1256	9848	336
1257	9855	329
1258	9861	321
1259	9867	313
1260	9874	305
1261	9880	297
1262	9888	289
1263	9894	281
1264	9901	273
1265	9907	266
1266	9913	258
1267	9920	250
1268	9926	242
1269	9933	234
1270	9940	226
1271	9949	219
1272	9957	211
1273	9964	203
1274	9972	195
1275	9982	187
1276	9988	179
1277	9997	172
1278	10004	164
1279	10013	156
1280	10019	148
1281	10027	140
1282	10034	132
1283	10041	125
1284	10048	117
1285	10055	109
1286	10063	101
1287	10071	93
1288	10079	86
1289	10086	78
1290	10094	70
1291	10100	62
1292	10107	54
1293	10114	46
1294	10121	39
1295	10132	31
1296	10139	23
1297	10147	15
1298	10155	7
1299	10162	0
